out1	truth	
-5,6948e+02	-6,0000e+02	
-6,1384e+02	-7,0000e+02	
-6,9854e+02	-8,0000e+02	
-7,8822e+02	-9,0000e+02	
-6,7858e+02	-8,0000e+02	
-7,1241e+02	-8,0000e+02	
-5,8755e+02	-7,0000e+02	
-3,8042e+02	-6,0000e+02	
-1,3496e+02	-4,0000e+02	
 1,0269e+02	-2,0000e+02	
 9,6980e+01	-1,0000e+02	
 2,6868e+02	 1,0000e+02	
 3,4476e+02	 2,0000e+02	
 6,0951e+02	 4,0000e+02	
 6,7828e+02	 5,0000e+02	
 8,3861e+02	 7,0000e+02	
 8,9156e+02	 8,0000e+02	
 1,0238e+03	 9,0000e+02	
 1,1236e+03	 1,0000e+03	
 1,1172e+03	 1,0000e+03	
 1,0908e+03	 1,0000e+03	
 8,4041e+02	 8,0000e+02	
 7,3343e+02	 7,0000e+02	
 3,8231e+02	 4,0000e+02	
