out1	truth	
-3,4623e+02	-6,0000e+02	
-3,4302e+02	-7,0000e+02	
-3,4044e+02	-8,0000e+02	
-4,8999e+02	-9,0000e+02	
-4,9622e+02	-8,0000e+02	
-4,3682e+02	-8,0000e+02	
-4,0231e+02	-7,0000e+02	
-1,6433e+02	-6,0000e+02	
-5,8236e+01	-4,0000e+02	
 1,6290e+02	-2,0000e+02	
 7,8584e+01	-1,0000e+02	
 3,5369e+02	 1,0000e+02	
 4,0474e+02	 2,0000e+02	
 5,7143e+02	 4,0000e+02	
 6,3700e+02	 5,0000e+02	
 6,0634e+02	 7,0000e+02	
 6,8847e+02	 8,0000e+02	
 9,2150e+02	 9,0000e+02	
 9,6502e+02	 1,0000e+03	
 8,2525e+02	 1,0000e+03	
 5,6349e+02	 1,0000e+03	
 6,8624e+02	 8,0000e+02	
 5,8295e+02	 7,0000e+02	
 3,4282e+02	 4,0000e+02	
