out1	truth	
 3,3347e+01	-6,0000e+02	
 2,7491e+01	-7,0000e+02	
-2,0052e+02	-8,0000e+02	
-1,2759e+02	-9,0000e+02	
-3,4620e+01	-8,0000e+02	
-2,0915e+00	-8,0000e+02	
 6,5375e+01	-7,0000e+02	
 4,8056e+01	-6,0000e+02	
 2,6890e+02	-4,0000e+02	
 3,4774e+02	-2,0000e+02	
 2,6807e+02	-1,0000e+02	
 3,8967e+02	 1,0000e+02	
 4,4426e+02	 2,0000e+02	
 5,3737e+02	 4,0000e+02	
 4,4894e+02	 5,0000e+02	
 5,6554e+02	 7,0000e+02	
 5,2893e+02	 8,0000e+02	
 6,6980e+02	 9,0000e+02	
 5,5842e+02	 1,0000e+03	
 4,9080e+02	 1,0000e+03	
 6,3094e+02	 1,0000e+03	
 3,8190e+02	 8,0000e+02	
 4,3321e+02	 7,0000e+02	
 6,3842e+02	 4,0000e+02	
