out1	truth	
-5,7513e+02	-6,0000e+02	
-5,1742e+02	-7,0000e+02	
-5,8951e+02	-8,0000e+02	
-6,9279e+02	-9,0000e+02	
-6,0571e+02	-8,0000e+02	
-6,1489e+02	-8,0000e+02	
-4,9363e+02	-7,0000e+02	
-2,9980e+02	-6,0000e+02	
-1,1419e+02	-4,0000e+02	
 6,6862e+01	-2,0000e+02	
 6,5206e+01	-1,0000e+02	
 3,3381e+02	 1,0000e+02	
 3,8700e+02	 2,0000e+02	
 6,3835e+02	 4,0000e+02	
 6,4428e+02	 5,0000e+02	
 7,9630e+02	 7,0000e+02	
 9,0165e+02	 8,0000e+02	
 1,0616e+03	 9,0000e+02	
 1,0908e+03	 1,0000e+03	
 1,1779e+03	 1,0000e+03	
 1,0631e+03	 1,0000e+03	
 8,0280e+02	 8,0000e+02	
 7,3714e+02	 7,0000e+02	
 4,9103e+02	 4,0000e+02	
