out1	truth	
-5,4559e+02	-6,0000e+02	
-5,1194e+02	-7,0000e+02	
-5,1332e+02	-8,0000e+02	
-6,1720e+02	-9,0000e+02	
-5,8250e+02	-8,0000e+02	
-4,8980e+02	-8,0000e+02	
-4,0316e+02	-7,0000e+02	
-1,7443e+02	-6,0000e+02	
 2,7680e+01	-4,0000e+02	
 2,6783e+02	-2,0000e+02	
 2,4691e+02	-1,0000e+02	
 4,1984e+02	 1,0000e+02	
 5,4787e+02	 2,0000e+02	
 7,9673e+02	 4,0000e+02	
 8,7144e+02	 5,0000e+02	
 9,8641e+02	 7,0000e+02	
 1,0230e+03	 8,0000e+02	
 1,2340e+03	 9,0000e+02	
 1,2096e+03	 1,0000e+03	
 1,2370e+03	 1,0000e+03	
 1,2286e+03	 1,0000e+03	
 9,0779e+02	 8,0000e+02	
 7,6277e+02	 7,0000e+02	
 4,1752e+02	 4,0000e+02	
