out1	truth	
-6,3564e+02	-6,0000e+02	
-6,0077e+02	-7,0000e+02	
-6,5368e+02	-8,0000e+02	
-7,2138e+02	-9,0000e+02	
-6,2946e+02	-8,0000e+02	
-5,9796e+02	-8,0000e+02	
-4,9405e+02	-7,0000e+02	
-3,3195e+02	-6,0000e+02	
-1,1470e+02	-4,0000e+02	
 9,3899e+01	-2,0000e+02	
 1,0541e+02	-1,0000e+02	
 3,0071e+02	 1,0000e+02	
 3,9891e+02	 2,0000e+02	
 6,7950e+02	 4,0000e+02	
 7,6888e+02	 5,0000e+02	
 8,9413e+02	 7,0000e+02	
 9,5701e+02	 8,0000e+02	
 1,1121e+03	 9,0000e+02	
 1,1437e+03	 1,0000e+03	
 1,1270e+03	 1,0000e+03	
 1,1617e+03	 1,0000e+03	
 8,2815e+02	 8,0000e+02	
 7,2826e+02	 7,0000e+02	
 3,7384e+02	 4,0000e+02	
