out1	truth	
-4,4948e+02	-6,0000e+02	
-4,1732e+02	-7,0000e+02	
-4,4846e+02	-8,0000e+02	
-5,7970e+02	-9,0000e+02	
-4,7867e+02	-8,0000e+02	
-3,9588e+02	-8,0000e+02	
-2,7487e+02	-7,0000e+02	
-1,9742e+01	-6,0000e+02	
 1,7174e+02	-4,0000e+02	
 4,0123e+02	-2,0000e+02	
 3,8695e+02	-1,0000e+02	
 5,9851e+02	 1,0000e+02	
 6,3537e+02	 2,0000e+02	
 8,4574e+02	 4,0000e+02	
 8,7669e+02	 5,0000e+02	
 9,7000e+02	 7,0000e+02	
 1,0671e+03	 8,0000e+02	
 1,1438e+03	 9,0000e+02	
 1,1323e+03	 1,0000e+03	
 1,1222e+03	 1,0000e+03	
 1,0916e+03	 1,0000e+03	
 7,7840e+02	 8,0000e+02	
 6,4335e+02	 7,0000e+02	
 4,2477e+02	 4,0000e+02	
