out1	truth	
-5,1106e+02	-6,0000e+02	
-4,6248e+02	-7,0000e+02	
-4,9386e+02	-8,0000e+02	
-6,0782e+02	-9,0000e+02	
-5,3977e+02	-8,0000e+02	
-4,4665e+02	-8,0000e+02	
-3,2423e+02	-7,0000e+02	
-4,6375e+01	-6,0000e+02	
 1,3231e+02	-4,0000e+02	
 3,8176e+02	-2,0000e+02	
 3,5281e+02	-1,0000e+02	
 5,5328e+02	 1,0000e+02	
 6,2037e+02	 2,0000e+02	
 8,5580e+02	 4,0000e+02	
 9,1011e+02	 5,0000e+02	
 1,0025e+03	 7,0000e+02	
 1,0977e+03	 8,0000e+02	
 1,1873e+03	 9,0000e+02	
 1,1644e+03	 1,0000e+03	
 1,1488e+03	 1,0000e+03	
 1,0815e+03	 1,0000e+03	
 8,0139e+02	 8,0000e+02	
 6,6587e+02	 7,0000e+02	
 3,8879e+02	 4,0000e+02	
