out1	truth	
-1,1471e+02	-6,0000e+02	
-1,2658e+02	-7,0000e+02	
-3,3807e+02	-8,0000e+02	
-2,5386e+02	-9,0000e+02	
-1,3253e+02	-8,0000e+02	
-1,1372e+02	-8,0000e+02	
-1,7945e+01	-7,0000e+02	
 8,7334e+01	-6,0000e+02	
 2,8734e+02	-4,0000e+02	
 4,3912e+02	-2,0000e+02	
 3,5533e+02	-1,0000e+02	
 5,2646e+02	 1,0000e+02	
 5,3682e+02	 2,0000e+02	
 6,2981e+02	 4,0000e+02	
 5,4717e+02	 5,0000e+02	
 6,4762e+02	 7,0000e+02	
 6,8843e+02	 8,0000e+02	
 8,2010e+02	 9,0000e+02	
 7,1649e+02	 1,0000e+03	
 6,9661e+02	 1,0000e+03	
 7,5778e+02	 1,0000e+03	
 4,8761e+02	 8,0000e+02	
 4,6368e+02	 7,0000e+02	
 5,6885e+02	 4,0000e+02	
