out1	truth	
-5,5609e+02	-6,0000e+02	
-5,4150e+02	-7,0000e+02	
-5,5526e+02	-8,0000e+02	
-6,7578e+02	-9,0000e+02	
-5,9041e+02	-8,0000e+02	
-4,9899e+02	-8,0000e+02	
-4,2017e+02	-7,0000e+02	
-1,5632e+02	-6,0000e+02	
 4,9921e+01	-4,0000e+02	
 3,1310e+02	-2,0000e+02	
 2,6943e+02	-1,0000e+02	
 4,7701e+02	 1,0000e+02	
 5,5284e+02	 2,0000e+02	
 8,5484e+02	 4,0000e+02	
 9,0006e+02	 5,0000e+02	
 9,9075e+02	 7,0000e+02	
 1,0614e+03	 8,0000e+02	
 1,2272e+03	 9,0000e+02	
 1,2003e+03	 1,0000e+03	
 1,2154e+03	 1,0000e+03	
 1,1420e+03	 1,0000e+03	
 8,3844e+02	 8,0000e+02	
 6,9789e+02	 7,0000e+02	
 3,8743e+02	 4,0000e+02	
