out1	truth	
-2,7369e+02	-6,0000e+02	
-2,3401e+02	-7,0000e+02	
-3,6447e+02	-8,0000e+02	
-4,1475e+02	-9,0000e+02	
-3,1278e+02	-8,0000e+02	
-2,4825e+02	-8,0000e+02	
-1,3398e+02	-7,0000e+02	
 9,4981e+01	-6,0000e+02	
 3,0062e+02	-4,0000e+02	
 4,5955e+02	-2,0000e+02	
 4,5790e+02	-1,0000e+02	
 6,6277e+02	 1,0000e+02	
 6,5881e+02	 2,0000e+02	
 8,1206e+02	 4,0000e+02	
 7,8221e+02	 5,0000e+02	
 8,8210e+02	 7,0000e+02	
 9,4821e+02	 8,0000e+02	
 1,0635e+03	 9,0000e+02	
 1,0225e+03	 1,0000e+03	
 9,8849e+02	 1,0000e+03	
 9,7523e+02	 1,0000e+03	
 6,7477e+02	 8,0000e+02	
 5,5606e+02	 7,0000e+02	
 4,9219e+02	 4,0000e+02	
