out1	truth	
-5,8693e+02	-6,0000e+02	
-6,3527e+02	-7,0000e+02	
-6,6892e+02	-8,0000e+02	
-7,4443e+02	-9,0000e+02	
-6,7178e+02	-8,0000e+02	
-6,1832e+02	-8,0000e+02	
-5,1672e+02	-7,0000e+02	
-3,2327e+02	-6,0000e+02	
-9,9281e+01	-4,0000e+02	
 1,7553e+02	-2,0000e+02	
 1,6579e+02	-1,0000e+02	
 3,2158e+02	 1,0000e+02	
 4,3406e+02	 2,0000e+02	
 7,1382e+02	 4,0000e+02	
 8,0286e+02	 5,0000e+02	
 8,7586e+02	 7,0000e+02	
 9,8615e+02	 8,0000e+02	
 1,1272e+03	 9,0000e+02	
 1,1536e+03	 1,0000e+03	
 1,1553e+03	 1,0000e+03	
 1,1408e+03	 1,0000e+03	
 8,5453e+02	 8,0000e+02	
 7,3482e+02	 7,0000e+02	
 3,9776e+02	 4,0000e+02	
