out1	truth	
-2,3008e+02	-6,0000e+02	
-2,4705e+02	-7,0000e+02	
-3,0260e+02	-8,0000e+02	
-3,6874e+02	-9,0000e+02	
-3,2790e+02	-8,0000e+02	
-3,2608e+02	-8,0000e+02	
-2,9258e+02	-7,0000e+02	
-5,0124e+01	-6,0000e+02	
-2,3840e+00	-4,0000e+02	
 2,2730e+02	-2,0000e+02	
 8,6743e+01	-1,0000e+02	
 3,5564e+02	 1,0000e+02	
 3,7602e+02	 2,0000e+02	
 5,5796e+02	 4,0000e+02	
 5,9050e+02	 5,0000e+02	
 5,8567e+02	 7,0000e+02	
 6,6126e+02	 8,0000e+02	
 8,1053e+02	 9,0000e+02	
 9,1329e+02	 1,0000e+03	
 9,4096e+02	 1,0000e+03	
 7,5660e+02	 1,0000e+03	
 7,9068e+02	 8,0000e+02	
 6,0720e+02	 7,0000e+02	
 3,5812e+02	 4,0000e+02	
