out1	truth	
-5,3383e+02	-6,0000e+02	
-5,1686e+02	-7,0000e+02	
-5,2317e+02	-8,0000e+02	
-6,5856e+02	-9,0000e+02	
-5,7116e+02	-8,0000e+02	
-4,7806e+02	-8,0000e+02	
-3,7827e+02	-7,0000e+02	
-1,0392e+02	-6,0000e+02	
 9,3976e+01	-4,0000e+02	
 3,5375e+02	-2,0000e+02	
 3,1111e+02	-1,0000e+02	
 5,1751e+02	 1,0000e+02	
 5,7929e+02	 2,0000e+02	
 8,7997e+02	 4,0000e+02	
 9,1837e+02	 5,0000e+02	
 1,0097e+03	 7,0000e+02	
 1,0876e+03	 8,0000e+02	
 1,2218e+03	 9,0000e+02	
 1,2033e+03	 1,0000e+03	
 1,1914e+03	 1,0000e+03	
 1,1153e+03	 1,0000e+03	
 8,2827e+02	 8,0000e+02	
 6,8877e+02	 7,0000e+02	
 3,8395e+02	 4,0000e+02	
