out1	truth	
-1,9550e+01	-6,0000e+02	
-2,9956e+01	-7,0000e+02	
-2,5657e+02	-8,0000e+02	
-1,6935e+02	-9,0000e+02	
-7,4543e+01	-8,0000e+02	
-4,6933e+01	-8,0000e+02	
 5,5939e+01	-7,0000e+02	
 1,1042e+02	-6,0000e+02	
 3,1926e+02	-4,0000e+02	
 4,3683e+02	-2,0000e+02	
 3,5240e+02	-1,0000e+02	
 5,0968e+02	 1,0000e+02	
 5,1955e+02	 2,0000e+02	
 6,1230e+02	 4,0000e+02	
 5,0862e+02	 5,0000e+02	
 6,4754e+02	 7,0000e+02	
 6,5408e+02	 8,0000e+02	
 7,8950e+02	 9,0000e+02	
 6,7983e+02	 1,0000e+03	
 6,3039e+02	 1,0000e+03	
 7,1150e+02	 1,0000e+03	
 4,6553e+02	 8,0000e+02	
 4,8419e+02	 7,0000e+02	
 6,0724e+02	 4,0000e+02	
