out1	truth	
-6,6807e+02	-6,0000e+02	
-6,8042e+02	-7,0000e+02	
-7,1762e+02	-8,0000e+02	
-7,7499e+02	-9,0000e+02	
-6,9134e+02	-8,0000e+02	
-6,8967e+02	-8,0000e+02	
-5,2749e+02	-7,0000e+02	
-4,3481e+02	-6,0000e+02	
-2,2111e+02	-4,0000e+02	
 5,9398e+01	-2,0000e+02	
 3,5402e+01	-1,0000e+02	
 2,7205e+02	 1,0000e+02	
 3,2449e+02	 2,0000e+02	
 5,6859e+02	 4,0000e+02	
 6,5665e+02	 5,0000e+02	
 8,2251e+02	 7,0000e+02	
 8,8835e+02	 8,0000e+02	
 1,0357e+03	 9,0000e+02	
 1,1428e+03	 1,0000e+03	
 1,1789e+03	 1,0000e+03	
 1,0537e+03	 1,0000e+03	
 8,1842e+02	 8,0000e+02	
 6,8312e+02	 7,0000e+02	
 4,1071e+02	 4,0000e+02	
