out1	truth	
 1,7036e+02	-6,0000e+02	
 1,6726e+02	-7,0000e+02	
-1,0315e+02	-8,0000e+02	
-6,1232e+01	-9,0000e+02	
 5,9235e+01	-8,0000e+02	
 1,0157e+02	-8,0000e+02	
 1,2189e+02	-7,0000e+02	
 1,9095e+01	-6,0000e+02	
 2,7149e+02	-4,0000e+02	
 2,8738e+02	-2,0000e+02	
 2,4893e+02	-1,0000e+02	
 3,3356e+02	 1,0000e+02	
 4,4396e+02	 2,0000e+02	
 5,2946e+02	 4,0000e+02	
 4,5153e+02	 5,0000e+02	
 5,6260e+02	 7,0000e+02	
 4,7880e+02	 8,0000e+02	
 6,1649e+02	 9,0000e+02	
 5,0856e+02	 1,0000e+03	
 4,2378e+02	 1,0000e+03	
 5,8917e+02	 1,0000e+03	
 3,6959e+02	 8,0000e+02	
 4,6067e+02	 7,0000e+02	
 7,5115e+02	 4,0000e+02	
