out1	truth	
-1,6291e+02	-6,0000e+02	
-2,3429e+02	-7,0000e+02	
-2,5844e+02	-8,0000e+02	
-2,9621e+02	-9,0000e+02	
-2,2625e+02	-8,0000e+02	
-2,8337e+02	-8,0000e+02	
-1,9839e+02	-7,0000e+02	
-2,3956e+01	-6,0000e+02	
 3,8437e+01	-4,0000e+02	
 2,9881e+02	-2,0000e+02	
 2,0475e+02	-1,0000e+02	
 4,2911e+02	 1,0000e+02	
 4,2333e+02	 2,0000e+02	
 5,1153e+02	 4,0000e+02	
 5,7110e+02	 5,0000e+02	
 6,7514e+02	 7,0000e+02	
 7,7447e+02	 8,0000e+02	
 8,7490e+02	 9,0000e+02	
 9,4750e+02	 1,0000e+03	
 9,5694e+02	 1,0000e+03	
 9,8458e+02	 1,0000e+03	
 6,5238e+02	 8,0000e+02	
 6,4810e+02	 7,0000e+02	
 3,9964e+02	 4,0000e+02	
