out1	truth	
-5,8618e+02	-6,0000e+02	
-6,3565e+02	-7,0000e+02	
-7,0904e+02	-8,0000e+02	
-7,5255e+02	-9,0000e+02	
-6,6725e+02	-8,0000e+02	
-6,4475e+02	-8,0000e+02	
-5,1972e+02	-7,0000e+02	
-4,0832e+02	-6,0000e+02	
-1,6230e+02	-4,0000e+02	
 7,9431e+01	-2,0000e+02	
 1,0956e+02	-1,0000e+02	
 2,6131e+02	 1,0000e+02	
 3,3713e+02	 2,0000e+02	
 5,9407e+02	 4,0000e+02	
 6,4895e+02	 5,0000e+02	
 8,3024e+02	 7,0000e+02	
 9,5209e+02	 8,0000e+02	
 1,0578e+03	 9,0000e+02	
 1,1073e+03	 1,0000e+03	
 1,0928e+03	 1,0000e+03	
 1,0683e+03	 1,0000e+03	
 8,3811e+02	 8,0000e+02	
 7,1444e+02	 7,0000e+02	
 4,1356e+02	 4,0000e+02	
