out1	truth	
-6,1842e+02	-6,0000e+02	
-6,1399e+02	-7,0000e+02	
-6,5588e+02	-8,0000e+02	
-7,0136e+02	-9,0000e+02	
-6,1780e+02	-8,0000e+02	
-6,0498e+02	-8,0000e+02	
-4,8220e+02	-7,0000e+02	
-3,4788e+02	-6,0000e+02	
-9,9657e+01	-4,0000e+02	
 1,1250e+02	-2,0000e+02	
 1,3711e+02	-1,0000e+02	
 2,7167e+02	 1,0000e+02	
 3,6021e+02	 2,0000e+02	
 6,0041e+02	 4,0000e+02	
 7,0463e+02	 5,0000e+02	
 9,3085e+02	 7,0000e+02	
 9,3670e+02	 8,0000e+02	
 1,1341e+03	 9,0000e+02	
 1,1785e+03	 1,0000e+03	
 1,1242e+03	 1,0000e+03	
 1,1094e+03	 1,0000e+03	
 8,9369e+02	 8,0000e+02	
 7,7427e+02	 7,0000e+02	
 4,2910e+02	 4,0000e+02	
