out1	truth	
-6,2309e+02	-6,0000e+02	
-5,9378e+02	-7,0000e+02	
-6,2205e+02	-8,0000e+02	
-6,7372e+02	-9,0000e+02	
-5,7769e+02	-8,0000e+02	
-6,0569e+02	-8,0000e+02	
-4,8481e+02	-7,0000e+02	
-3,1527e+02	-6,0000e+02	
-6,9114e+01	-4,0000e+02	
 1,4598e+02	-2,0000e+02	
 1,2334e+02	-1,0000e+02	
 3,0753e+02	 1,0000e+02	
 4,0328e+02	 2,0000e+02	
 5,9766e+02	 4,0000e+02	
 6,9162e+02	 5,0000e+02	
 8,7291e+02	 7,0000e+02	
 9,8084e+02	 8,0000e+02	
 1,1615e+03	 9,0000e+02	
 1,1575e+03	 1,0000e+03	
 1,2436e+03	 1,0000e+03	
 1,1285e+03	 1,0000e+03	
 8,6052e+02	 8,0000e+02	
 8,4503e+02	 7,0000e+02	
 4,3334e+02	 4,0000e+02	
