out1	truth	
-3,4734e+02	-6,0000e+02	
-3,0867e+02	-7,0000e+02	
-4,0091e+02	-8,0000e+02	
-4,6590e+02	-9,0000e+02	
-3,6172e+02	-8,0000e+02	
-3,0408e+02	-8,0000e+02	
-1,8328e+02	-7,0000e+02	
 5,3047e+01	-6,0000e+02	
 2,5019e+02	-4,0000e+02	
 4,4038e+02	-2,0000e+02	
 4,4332e+02	-1,0000e+02	
 6,4353e+02	 1,0000e+02	
 6,5481e+02	 2,0000e+02	
 8,0012e+02	 4,0000e+02	
 7,7249e+02	 5,0000e+02	
 9,1612e+02	 7,0000e+02	
 9,9033e+02	 8,0000e+02	
 1,0742e+03	 9,0000e+02	
 1,0525e+03	 1,0000e+03	
 1,0257e+03	 1,0000e+03	
 9,9473e+02	 1,0000e+03	
 7,0488e+02	 8,0000e+02	
 5,8031e+02	 7,0000e+02	
 4,7489e+02	 4,0000e+02	
