out1	truth	
-2,2552e+02	-6,0000e+02	
-2,3922e+02	-7,0000e+02	
-2,5779e+02	-8,0000e+02	
-2,7449e+02	-9,0000e+02	
-2,4342e+02	-8,0000e+02	
-2,5853e+02	-8,0000e+02	
-1,9710e+02	-7,0000e+02	
-1,1060e+01	-6,0000e+02	
 1,5433e+01	-4,0000e+02	
 2,4390e+02	-2,0000e+02	
 1,7798e+02	-1,0000e+02	
 3,7219e+02	 1,0000e+02	
 4,1225e+02	 2,0000e+02	
 4,6820e+02	 4,0000e+02	
 5,8362e+02	 5,0000e+02	
 6,3764e+02	 7,0000e+02	
 7,3214e+02	 8,0000e+02	
 8,5624e+02	 9,0000e+02	
 9,5443e+02	 1,0000e+03	
 7,7236e+02	 1,0000e+03	
 8,8922e+02	 1,0000e+03	
 7,2860e+02	 8,0000e+02	
 6,0862e+02	 7,0000e+02	
 3,9661e+02	 4,0000e+02	
