out1	truth	
-2,2504e+02	-6,0000e+02	
-1,9764e+02	-7,0000e+02	
-3,6178e+02	-8,0000e+02	
-3,8679e+02	-9,0000e+02	
-2,5431e+02	-8,0000e+02	
-1,9776e+02	-8,0000e+02	
-8,4157e+01	-7,0000e+02	
 9,6927e+01	-6,0000e+02	
 3,0255e+02	-4,0000e+02	
 4,6721e+02	-2,0000e+02	
 4,4948e+02	-1,0000e+02	
 6,4926e+02	 1,0000e+02	
 6,3664e+02	 2,0000e+02	
 7,8459e+02	 4,0000e+02	
 7,4518e+02	 5,0000e+02	
 8,3319e+02	 7,0000e+02	
 9,0305e+02	 8,0000e+02	
 1,0299e+03	 9,0000e+02	
 9,5076e+02	 1,0000e+03	
 9,4019e+02	 1,0000e+03	
 9,3841e+02	 1,0000e+03	
 6,3514e+02	 8,0000e+02	
 5,2343e+02	 7,0000e+02	
 5,1905e+02	 4,0000e+02	
