out1	truth	
-1,6551e+02	-6,0000e+02	
-1,7087e+02	-7,0000e+02	
-3,7276e+02	-8,0000e+02	
-3,1740e+02	-9,0000e+02	
-1,8386e+02	-8,0000e+02	
-1,5332e+02	-8,0000e+02	
-4,0977e+01	-7,0000e+02	
 8,2860e+01	-6,0000e+02	
 2,8661e+02	-4,0000e+02	
 4,8007e+02	-2,0000e+02	
 4,0067e+02	-1,0000e+02	
 5,9199e+02	 1,0000e+02	
 5,9281e+02	 2,0000e+02	
 6,7349e+02	 4,0000e+02	
 6,0251e+02	 5,0000e+02	
 7,1348e+02	 7,0000e+02	
 7,8438e+02	 8,0000e+02	
 9,2165e+02	 9,0000e+02	
 8,1055e+02	 1,0000e+03	
 8,0032e+02	 1,0000e+03	
 8,5534e+02	 1,0000e+03	
 5,4804e+02	 8,0000e+02	
 4,9355e+02	 7,0000e+02	
 5,5103e+02	 4,0000e+02	
