out1	truth	
-5,6324e+02	-6,0000e+02	
-6,3052e+02	-7,0000e+02	
-6,7665e+02	-8,0000e+02	
-7,3685e+02	-9,0000e+02	
-6,7786e+02	-8,0000e+02	
-6,8784e+02	-8,0000e+02	
-5,1653e+02	-7,0000e+02	
-3,7049e+02	-6,0000e+02	
-1,7797e+02	-4,0000e+02	
 4,3766e+01	-2,0000e+02	
 7,4840e+01	-1,0000e+02	
 2,7738e+02	 1,0000e+02	
 3,5905e+02	 2,0000e+02	
 5,5104e+02	 4,0000e+02	
 6,5694e+02	 5,0000e+02	
 7,7948e+02	 7,0000e+02	
 8,7869e+02	 8,0000e+02	
 1,0381e+03	 9,0000e+02	
 1,0786e+03	 1,0000e+03	
 1,1365e+03	 1,0000e+03	
 1,1165e+03	 1,0000e+03	
 8,2204e+02	 8,0000e+02	
 7,1598e+02	 7,0000e+02	
 3,4099e+02	 4,0000e+02	
