out1	truth	
-2,9924e+02	-6,0000e+02	
-3,0576e+02	-7,0000e+02	
-3,3909e+02	-8,0000e+02	
-3,7736e+02	-9,0000e+02	
-2,9154e+02	-8,0000e+02	
-3,1126e+02	-8,0000e+02	
-2,5297e+02	-7,0000e+02	
-7,6056e+01	-6,0000e+02	
 6,5432e+01	-4,0000e+02	
 3,4443e+02	-2,0000e+02	
 2,4984e+02	-1,0000e+02	
 5,1407e+02	 1,0000e+02	
 5,0575e+02	 2,0000e+02	
 6,5010e+02	 4,0000e+02	
 7,1705e+02	 5,0000e+02	
 8,2302e+02	 7,0000e+02	
 8,6416e+02	 8,0000e+02	
 9,6271e+02	 9,0000e+02	
 1,0085e+03	 1,0000e+03	
 1,0321e+03	 1,0000e+03	
 1,0188e+03	 1,0000e+03	
 7,8908e+02	 8,0000e+02	
 5,7934e+02	 7,0000e+02	
 4,3045e+02	 4,0000e+02	
