out1	truth	
-1,1113e+02	-6,0000e+02	
-1,1173e+02	-7,0000e+02	
-1,7682e+02	-8,0000e+02	
-1,8320e+02	-9,0000e+02	
-1,2448e+02	-8,0000e+02	
-1,6360e+02	-8,0000e+02	
-1,0731e+02	-7,0000e+02	
 6,8566e+01	-6,0000e+02	
 8,8531e+01	-4,0000e+02	
 3,0110e+02	-2,0000e+02	
 2,2142e+02	-1,0000e+02	
 4,0655e+02	 1,0000e+02	
 3,9994e+02	 2,0000e+02	
 4,7718e+02	 4,0000e+02	
 5,6167e+02	 5,0000e+02	
 6,6704e+02	 7,0000e+02	
 7,2258e+02	 8,0000e+02	
 7,7716e+02	 9,0000e+02	
 8,5970e+02	 1,0000e+03	
 8,3597e+02	 1,0000e+03	
 8,1117e+02	 1,0000e+03	
 7,4508e+02	 8,0000e+02	
 6,1292e+02	 7,0000e+02	
 4,3206e+02	 4,0000e+02	
