out1	truth	
-5,9238e+02	-6,0000e+02	
-6,2029e+02	-7,0000e+02	
-6,2550e+02	-8,0000e+02	
-7,2504e+02	-9,0000e+02	
-6,6522e+02	-8,0000e+02	
-6,1796e+02	-8,0000e+02	
-4,8739e+02	-7,0000e+02	
-2,5485e+02	-6,0000e+02	
-3,6651e+01	-4,0000e+02	
 2,2367e+02	-2,0000e+02	
 1,9463e+02	-1,0000e+02	
 3,3199e+02	 1,0000e+02	
 4,7738e+02	 2,0000e+02	
 7,4201e+02	 4,0000e+02	
 8,2924e+02	 5,0000e+02	
 9,0278e+02	 7,0000e+02	
 1,0068e+03	 8,0000e+02	
 1,1730e+03	 9,0000e+02	
 1,1808e+03	 1,0000e+03	
 1,1795e+03	 1,0000e+03	
 1,1729e+03	 1,0000e+03	
 8,7462e+02	 8,0000e+02	
 7,4469e+02	 7,0000e+02	
 4,0118e+02	 4,0000e+02	
