# time head_pan l_gripper_l_finger_joint l_gripper_r_finger_joint left_e0 left_e1 left_s0 left_s1 left_w0 left_w1 left_w2 r_gripper_l_finger_joint r_gripper_r_finger_joint right_e0 right_e1 right_s0 right_s1 right_w0 right_w1 right_w2
415.502 -0.0635563635343 0.0208330011443 1.91963147385e-09 -2.21850997136 0.458438521943 -0.602669997849 -0.0188200852305 -2.77929369293 -0.81053221158 3.02499461121 -1.21560404815e-07 -0.0208331466436 1.54316155848 0.941194760705 -1.03896682341 -0.0391564544986 0.296583510618 2.08012285248 -1.40846781937
421.922 0.0558416274742 0.0208330542304 5.4729789134e-08 -1.81444247466 1.24506262699 -0.276473709199 -0.707684147604 -2.72042093222 -0.772618354316 2.39227713435 -3.72205373133e-07 -0.0208330011643 1.54316155698 0.941194760295 -1.03896682327 -0.0391564550646 0.296583513964 2.08012286435 -1.40846781786
422.022 -0.0376116247538 0.0208387034114 6.87093481865e-06 -1.81444257345 1.24506245283 -0.276473797729 -0.707684141875 -2.7204216 -0.772617898177 2.39227716608 -2.17026903094e-09 -0.0208330031139 1.54316155712 0.941194760769 -1.03896682334 -0.0391564550902 0.296583506831 2.08012282309 -1.40846782307
422.202 -0.175162375935 0.0208334899322 5.90801589533e-07 -1.81444248051 1.24506229324 -0.276473827625 -0.707684179856 -2.72042052732 -0.772618998489 2.39227627771 -3.71416235079e-09 -0.0208330049732 1.54316155743 0.941194761434 -1.03896682364 -0.0391564550938 0.296583506183 2.08012282125 -1.40846782386
422.322 -0.266136829655 0.0208401278592 8.58585966476e-06 -1.81444261063 1.24506233625 -0.27647384039 -0.707684103503 -2.72042197176 -0.772617717099 2.39227737533 -3.9448314317e-08 -0.0208330479242 1.54316155899 0.941194762273 -1.03896682402 -0.039156454344 0.296583505496 2.08012282904 -1.4084678227
422.522 -0.3975806968 0.0208330070692 9.13468658325e-09 -1.81444257171 1.24506259317 -0.276473738456 -0.707684120126 -2.72042041649 -0.772618476287 2.39227646859 -2.37996056221e-07 -0.0208332866003 1.54316155761 0.941194760208 -1.03896682322 -0.0391564549009 0.296583516429 2.08012288007 -1.40846781696
422.622 -0.455263571074 0.0208339861087 9.86762541971e-07 -1.81444254685 1.24506226356 -0.276473847062 -0.707684156601 -2.72042031029 -0.772619059306 2.39227599107 -1.1774904124e-09 -0.0208330019231 1.54316155705 0.94119476019 -1.0389668232 -0.0391564551185 0.296583507536 2.08012282537 -1.40846782198
422.822 -0.546223970379 0.0208330009963 1.56733767266e-09 -1.81444245701 1.24506234722 -0.27647381946 -0.707684138149 -2.72042084739 -0.772618712381 2.39227674032 -9.90484433934e-09 -0.0208330124195 1.54316155817 0.94119476238 -1.03896682398 -0.0391564548307 0.296583505013 2.08012282045 -1.40846782461
422.922 -0.571079427134 0.0208342323583 1.23303336539e-06 -1.81444263988 1.24506238149 -0.276473807927 -0.707684130188 -2.72042014361 -0.772618688497 2.39227582521 -2.50291752529e-08 -0.0208330306007 1.54316155888 0.941194762509 -1.03896682404 -0.0391564544823 0.296583504891 2.08012282449 -1.40846782371
423.022 -0.599652473393 0.0208330336847 4.11001436111e-08 -1.81444251882 1.24506264706 -0.276473707877 -0.707684130186 -2.72042077774 -0.77261833349 2.39227696427 -6.19567487449e-08 -0.0208330749886 1.54316155899 0.94119476168 -1.0389668238 -0.0391564543202 0.296583506966 2.08012283604 -1.40846782147
423.142 -0.632292935887 0.020833054239 5.4748458375e-08 -1.81444241635 1.24506263619 -0.276473724836 -0.707684133018 -2.72042097667 -0.772618237129 2.39227705564 -1.17202430277e-09 -0.0208330019221 1.54316155709 0.941194760117 -1.03896682312 -0.0391564551208 0.296583507597 2.08012282544 -1.40846782199
423.302 -0.67289658912 0.0208334039267 4.04526391758e-07 -1.81444243744 1.24506230078 -0.276473821084 -0.707684189217 -2.7204206806 -0.772618978606 2.39227647792 -2.37993506529e-07 -0.0208332866001 1.5431615576 0.941194760233 -1.03896682321 -0.039156454899 0.296583516411 2.08012288002 -1.40846781695
