# time head_pan l_gripper_l_finger_joint l_gripper_r_finger_joint left_e0 left_e1 left_s0 left_s1 left_w0 left_w1 left_w2 r_gripper_l_finger_joint r_gripper_r_finger_joint right_e0 right_e1 right_s0 right_s1 right_w0 right_w1 right_w2
14891634875 1.15190963339 0.0208331329741 8.20339273755e-08 -0.0160384213316 0.494350520199 0.192513260166 1.04700012195 -0.196032604776 0.0267839954052 -0.0146683374023 0.0208330072273 4.09168741563e-09 -0.0203772594251 0.495330674801 -0.272622560794 1.04700005438 -0.103874077717 0.0281430414011 0.0286181016256
14891634880 1.07397062219 0.0208334069234 2.60079975176e-07 -0.0160375459833 0.494350314297 0.192513200755 1.04700012192 -0.19605081206 0.0267830567631 -0.0146698310214 0.0208330072293 4.09265000045e-09 -0.0203762086006 0.495330372156 -0.27262250067 1.04700005435 -0.103897800903 0.028143185004 0.028620977374
14891634886 0.942103414081 0.0208335144606 3.15696717072e-08 -0.01603655207 0.494348171706 0.192513156135 1.04700024884 -0.196070618021 0.0267820350047 -0.0146714925776 0.0208330072314 4.09371335005e-09 -0.0203750986606 0.495330052304 -0.272622429529 1.04700005429 -0.103923611972 0.0281433145685 0.028624114994
14891634891 0.88167681123 0.0208331074736 3.2490993599e-07 -0.0160358003408 0.494346260119 0.192513136437 1.04700027225 -0.196086137022 0.0267812496559 -0.0146727950537 0.0208330072341 4.09421235479e-09 -0.0203742276657 0.495329820392 -0.272622381629 1.04700005421 -0.103943848655 0.0281434360475 0.0286265656503
14891634896 0.821556472735 0.0208331683025 3.26986166709e-07 -0.0160350097594 0.49434445245 0.192513134768 1.04700024805 -0.196102217616 0.0267805642339 -0.0146741458472 0.020833007236 4.09564924384e-09 -0.0203733053976 0.495329569799 -0.272622338261 1.04700005426 -0.103964780379 0.0281435637488 0.0286291007862
14891634901 0.778802065331 0.0208331074801 3.24929450168e-07 -0.0160342473477 0.494342829417 0.192513144177 1.04700027228 -0.196118277841 0.0267802142708 -0.014675516214 0.0208330072376 4.09581555858e-09 -0.0203723633148 0.495329312615 -0.272622296804 1.04700005418 -0.103985710254 0.0281436943721 0.0286316357299
14891634906 0.707243750674 0.0208330438142 4.06717351842e-08 -0.0160334389484 0.494341414587 0.192513162751 1.04700036487 -0.196134887344 0.0267801594375 -0.0146769536023 0.0208330072398 4.09677261388e-09 -0.0203713891295 0.495329038354 -0.272622250955 1.04700005415 -0.104007334528 0.0281438202041 0.0286342578873
14891634911 0.658251342725 0.0208335080651 5.1246731419e-08 -0.0160326164406 0.494341063217 0.192513180669 1.04700016813 -0.19615259524 0.026779877629 -0.014678442538 0.0208330072404 4.09780752124e-09 -0.0203703160034 0.495328733326 -0.272622209444 1.04700005421 -0.104030355416 0.0281439745198 0.0286370437792
14891634916 0.538625291607 0.0208331662557 5.10916772006e-07 -0.0160317782022 0.494340432489 0.192513203412 1.04700024884 -0.19617027917 0.0267800955378 -0.0146799709761 0.0208330072421 4.09841707193e-09 -0.0203692997239 0.495328426114 -0.272622150445 1.04700005416 -0.10405336983 0.0281440825709 0.0286398403268
14891634921 0.502790212276 0.0208334063855 6.477981917e-08 -0.0160309914196 0.494340007128 0.192513218867 1.04700036408 -0.196186880841 0.0267804330176 -0.0146814184985 0.0208330072449 4.09899237784e-09 -0.0203683046044 0.495328169557 -0.272622105229 1.04700005408 -0.104074991611 0.0281442232678 0.0286424613931
14891634926 0.459693704254 0.0208334063838 8.20195159373e-08 -0.0160301588535 0.494340570831 0.192513223295 1.04700012223 -0.196204604764 0.026780249671 -0.0146829073472 0.0208330072455 4.09991711102e-09 -0.0203672208243 0.495327873867 -0.272622061759 1.04700005415 -0.104098008585 0.0281443819542 0.0286452483585
14891634931 0.38235297994 0.020833013847 6.4774113254e-08 -0.0160292931113 0.494339999243 0.192513236258 1.04700036491 -0.196222269829 0.0267807511715 -0.0146844658093 0.0208330072466 4.09990580799e-09 -0.0203661566482 0.495327577425 -0.272622008612 1.04700005404 -0.104121020465 0.0281445183601 0.028648041492
14891634936 0.336822395792 0.0208334063798 6.47803565483e-08 -0.0160285336534 0.494340011886 0.192513241535 1.04700036409 -0.196238344657 0.0267808578685 -0.0146858396596 0.0208330072484 4.10065527409e-09 -0.0203651609826 0.495327302624 -0.272621968308 1.04700005403 -0.104141942883 0.0281446642272 0.0286505752489
14891634941 0.25836450402 0.0208333250226 3.08299554542e-08 -0.0160277326847 0.494340193712 0.192513241213 1.04700027259 -0.196254971212 0.0267807981324 -0.0146872558078 0.0208330072484 4.10070652235e-09 -0.0203641542567 0.495327019636 -0.272621917478 1.04700005401 -0.104163557431 0.028144793006 0.0286531998549
14891634946 0.175383474601 0.0208333294745 3.3124409549e-07 -0.016026872453 0.494340161304 0.19251324585 1.04700024772 -0.19627266403 0.0267807887595 -0.0146887641548 0.0208330072476 4.10116900386e-09 -0.0203630971509 0.49532673534 -0.272621857996 1.04700005404 -0.104186562578 0.0281449212614 0.0286559981156
14891634951 0.0963300867068 0.020833107687 1.05815273443e-07 -0.0160260213702 0.494340028251 0.19251324648 1.04700024868 -0.196289819465 0.0267807969896 -0.0146902414972 0.0208330072488 4.10163790373e-09 -0.020362074566 0.495326453235 -0.272621805917 1.04700005402 -0.104208877689 0.0281450606576 0.0286587037015
14891634956 0.00596722648607 0.020833207801 3.0819839716e-08 -0.016025197711 0.494339787955 0.192513250972 1.0470002726 -0.196306949365 0.0267808274172 -0.0146917137645 0.0208330072488 4.10115805948e-09 -0.02036105786 0.495326175481 -0.272621752809 1.04700005393 -0.104231189595 0.0281451921 0.0286614123617
14891634961 -0.0611202481744 0.0208332078118 3.08172529841e-08 -0.0160243308496 0.494339596359 0.19251325489 1.04700027256 -0.196324630718 0.0267808213185 -0.0146932288719 0.0208330072502 4.10171206164e-09 -0.0203599914377 0.495325896258 -0.272621704909 1.04700005391 -0.104254199932 0.0281453445241 0.0286642024907
14891634966 -0.109120481252 0.0208330174214 8.20045131332e-08 -0.0160234276688 0.494339638897 0.192513256903 1.04700016795 -0.196342868457 0.0267806609382 -0.0146947800505 0.02083300725 4.10247430841e-09 -0.0203588389449 0.495325583487 -0.272621663565 1.04700005397 -0.104277903471 0.028145516315 0.0286670759997
