# time head_pan l_gripper_l_finger_joint l_gripper_r_finger_joint left_e0 left_e1 left_s0 left_s1 left_w0 left_w1 left_w2 r_gripper_l_finger_joint r_gripper_r_finger_joint right_e0 right_e1 right_s0 right_s1 right_w0 right_w1 right_w2
551.222 0.284008390042 0.0208330000432 1.41999171626e-09 -1.9905923332 0.725312948209 -0.211997004135 -0.0783805117043 -2.68684626513 -0.875264779416 2.84639417924 -1.59866238194e-09 -0.0208330024465 1.54316155713 0.941194760433 -1.03896682325 -0.0391564551311 0.296583507259 2.08012282419 -1.40846782251
551.322 0.284432104751 0.0208362147587 3.87648088545e-06 -1.99059247972 0.725312798413 -0.211997647038 -0.0783805070627 -2.68684619142 -0.875264281093 2.84639358155 -4.77063675559e-09 -0.0208330062594 1.54316155758 0.941194761736 -1.03896682372 -0.0391564550362 0.296583505828 2.08012282076 -1.40846782417
551.402 0.238239495782 0.0208380222378 6.05490134692e-06 -1.99059243696 0.725312907054 -0.211998394812 -0.0783805140404 -2.68684696384 -0.875264224103 2.84639413528 -2.85389215588e-09 -0.0208330039377 1.54316155731 0.941194760795 -1.03896682341 -0.0391564550805 0.296583506438 2.08012282271 -1.40846782339
551.522 0.132761501545 0.0208362136579 3.87517045647e-06 -1.99059246392 0.725312843688 -0.211998590671 -0.0783805315676 -2.6868462225 -0.875264405922 2.8463934493 -3.1435793889e-08 -0.0208330382976 1.54316155894 0.941194762344 -1.03896682399 -0.0391564543696 0.296583505115 2.0801228266 -1.40846782334
551.622 0.0438489871928 0.0208330237609 3.00440125242e-08 -1.9905924047 0.725312982912 -0.211998093113 -0.078380431172 -2.68684610772 -0.875264400806 2.84639446458 -7.75957625866e-08 -0.0208330937824 1.54316155882 0.941194761399 -1.03896682368 -0.0391564543369 0.296583507894 2.08012284055 -1.40846782075
551.822 -0.124835512854 0.0208330077806 1.08133962685e-08 -1.99059241628 0.725312939543 -0.211998077958 -0.0783804594491 -2.68684598289 -0.875264460116 2.84639421043 -8.24596898391e-10 -0.0208330014975 1.54316155702 0.94119475988 -1.03896682307 -0.0391564550896 0.296583507824 2.0801228267 -1.40846782146
551.922 -0.205282929517 0.0208333450762 4.17266243421e-07 -1.99059206874 0.725312783875 -0.211998229192 -0.0783806269826 -2.68684633454 -0.87526458268 2.84639372013 -2.85279811497e-09 -0.0208330039375 1.54316155728 0.941194761115 -1.03896682352 -0.0391564551052 0.296583506532 2.08012282213 -1.40846782348
552.222 -0.383078366041 0.0208380215143 6.05405437182e-06 -1.99059243429 0.725312862593 -0.211998123934 -0.0783805317148 -2.68684693704 -0.87526421883 2.84639409163 -4.94485173544e-08 -0.02083305995 1.54316155902 0.94119476197 -1.03896682389 -0.0391564543193 0.29658350614 2.08012283224 -1.40846782211
552.422 -0.473912437137 0.0208346453137 1.98472188087e-06 -1.99059244041 0.725312796343 -0.211998199596 -0.0783805541398 -2.68684569682 -0.875264574206 2.84639295267 -2.97651881685e-07 -0.0208333582972 1.54316155737 0.941194760281 -1.03896682321 -0.0391564550484 0.296583518847 2.08012289315 -1.40846781726
552.522 -0.498775025385 0.0208330121632 1.60873476961e-08 -1.99059243803 0.725312969 -0.211998147348 -0.0783804368725 -2.68684598418 -0.87526443083 2.84639430712 -1.60741077265e-09 -0.0208330024481 1.54316155714 0.941194760442 -1.03896682326 -0.0391564551388 0.296583507264 2.0801228242 -1.4084678225
552.642 -0.533279776366 0.0208330062223 8.92997294968e-09 -1.99059239654 0.725312919496 -0.211998136155 -0.07838047334 -2.68684600421 -0.875264469583 2.84639416539 -1.99028758409e-08 -0.020833024439 1.54316155872 0.941194762556 -1.03896682407 -0.03915645455 0.296583504741 2.08012282288 -1.40846782411
552.702 -0.549866499922 0.0208333450762 4.17263219453e-07 -1.9905920706 0.725312779066 -0.211998127394 -0.078380626433 -2.68684633379 -0.875264579846 2.84639372036 -2.8463560772e-09 -0.0208330039363 1.54316155729 0.941194761111 -1.03896682351 -0.0391564551177 0.296583506545 2.0801228221 -1.40846782344
552.822 -0.578219359991 0.0208331767388 2.14322005775e-07 -1.9905920374 0.725312833397 -0.211998121063 -0.0783805949926 -2.68684660149 -0.875264503813 2.84639422995 -3.14299932473e-08 -0.0208330382965 1.54316155899 0.941194762395 -1.03896682405 -0.0391564544049 0.296583505157 2.08012282654 -1.40846782326
553.002 -0.622507957236 0.0208380215145 6.05405227648e-06 -1.99059243372 0.725312864052 -0.211998168919 -0.0783805319256 -2.68684693719 -0.875264220316 2.84639409163 -4.94431380305e-08 -0.0208330599491 1.54316155906 0.941194761915 -1.03896682387 -0.0391564543288 0.296583506198 2.08012283228 -1.40846782212
553.122 -0.65222654151 0.0208355708856 3.1004045778e-06 -1.9905924779 0.725312820679 -0.211998177203 -0.0783805349025 -2.68684596931 -0.875264475016 2.84639321732 -8.16718908541e-10 -0.0208330014961 1.54316155706 0.941194759828 -1.03896682306 -0.0391564550961 0.296583507883 2.08012282675 -1.40846782149
553.422 -0.712850156376 0.0208330062223 8.92896862976e-09 -1.99059239635 0.725312920015 -0.211998145728 -0.0783804734057 -2.68684600428 -0.875264469821 2.84639416535 -1.99013909019e-08 -0.0208330244388 1.54316155873 0.941194762578 -1.03896682407 -0.0391564545557 0.296583504742 2.08012282289 -1.4084678241
553.602 -0.736515353483 0.0208331767388 2.1432122195e-07 -1.99059203745 0.725312833277 -0.211998119619 -0.078380594973 -2.68684660147 -0.875264503691 2.84639422994 -3.14290314224e-08 -0.0208330382963 1.54316155899 0.941194762382 -1.03896682401 -0.0391564544056 0.29658350516 2.08012282654 -1.40846782327
553.722 -0.748603119357 0.0208330905428 1.10441076745e-07 -1.99059213178 0.725312906128 -0.211998114629 -0.0783805297747 -2.68684658227 -0.875264435769 2.84639451935 -2.97650178465e-07 -0.020833358297 1.54316155735 0.941194760314 -1.03896682324 -0.0391564550415 0.296583518815 2.08012289311 -1.40846781724
553.942 -0.765105135753 0.0208350566759 2.48058093949e-06 -1.99059246735 0.725312807841 -0.211998179917 -0.0783805427265 -2.68684579458 -0.875264530958 2.84639304992 -1.99000586398e-08 -0.0208330244385 1.54316155873 0.941194762589 -1.03896682406 -0.0391564545557 0.296583504739 2.08012282288 -1.4084678241
554.022 -0.769688538986 0.0208343162306 1.58803008744e-06 -1.99059239937 0.725312784114 -0.211998175698 -0.0783805678988 -2.68684567027 -0.875264603082 2.84639292405 -1.25219224256e-08 -0.0208330155696 1.54316155835 0.941194762534 -1.03896682403 -0.0391564547352 0.296583504806 2.08012282088 -1.40846782454
554.122 -0.774580701628 0.0208330097285 1.31548277902e-08 -1.99059243111 0.725312954701 -0.211998140462 -0.0783804467407 -2.68684597587 -0.87526444357 2.84639425727 -3.14279403125e-08 -0.0208330382961 1.54316155899 0.941194762367 -1.03896682402 -0.0391564544054 0.296583505161 2.08012282656 -1.40846782326
554.242 -0.779420653786 0.0208330049759 7.42265259007e-09 -1.99059237226 0.725312901321 -0.211998146645 -0.0783804883854 -2.68684603551 -0.875264481871 2.84639412318 -2.97649456368e-07 -0.0208333582969 1.54316155735 0.941194760322 -1.03896682323 -0.0391564550411 0.29658351881 2.0801228931 -1.40846781725
554.302 -0.781483215386 0.0208332760841 3.34084122962e-07 -1.99059204372 0.725312793623 -0.211998129729 -0.0783806211816 -2.68684645181 -0.875264555808 2.84639390641 -4.94406736566e-08 -0.0208330599487 1.54316155906 0.941194761925 -1.03896682386 -0.039156454326 0.2965835062 2.08012283228 -1.40846782213
554.422 -0.78500889784 0.0208331414151 1.71743725577e-07 -1.99059205709 0.725312856952 -0.211998117039 -0.0783805755254 -2.68684662648 -0.875264478599 2.84639435521 -8.13299428376e-10 -0.0208330014955 1.54316155708 0.94119475981 -1.03896682305 -0.0391564550995 0.296583507911 2.08012282677 -1.40846782149
554.602 -0.789079676507 0.0208370170922 4.84365990585e-06 -1.99059245643 0.725312848347 -0.211998172173 -0.0783805303013 -2.68684654685 -0.875264320778 2.84639374868 -1.6053718868e-09 -0.0208330024477 1.54316155713 0.941194760436 -1.03896682325 -0.0391564551329 0.296583507252 2.08012282421 -1.40846782252
554.722 -0.724335003667 0.0208350566761 2.48057631567e-06 -1.99059246738 0.725312807813 -0.211998179783 -0.0783805427262 -2.68684579454 -0.875264532385 2.84639305004 -1.98974320364e-08 -0.0208330244535 1.54316155882 0.941194762093 -1.03896682392 -0.0391564545903 0.29658350515 2.08012282295 -1.40846782363
555.022 -0.463047203064 0.0208330049759 7.41871222597e-09 -1.99059237228 0.725312901256 -0.211998146705 -0.0783804883769 -2.68684603554 -0.875264481923 2.84639412317 -1.90255289616e-07 -0.0208332292351 1.54316155798 0.94119476034 -1.03896682325 -0.0391564547532 0.296583514332 2.08012287004 -1.40846781778
555.102 -0.397533943011 0.0208330031816 5.24601561772e-09 -1.99059232024 0.725312865706 -0.211998149336 -0.0783805174415 -2.68684611577 -0.875264501173 2.84639404397 -1.21544699372e-07 -0.0208331466392 1.54316155849 0.941194760802 -1.03896682346 -0.0391564544869 0.296583510582 2.08012285301 -1.40846781933
555.222 -0.296850055274 0.0208428070432 2.72121704415e-09 -1.99059233843 0.725312876173 -0.211998153015 -0.0783805388165 -2.6868471729 -0.875264200353 2.84639454589 -2.82435157888e-09 -0.0208330039323 1.54316155737 0.941194761113 -1.03896682352 -0.0391564551222 0.296583506606 2.08012282257 -1.4084678235
555.322 -0.216262252502 0.0208330724507 8.86438375764e-08 -1.99059218055 0.725312929045 -0.211998115411 -0.0783805062372 -2.68684652226 -0.875264419452 2.84639455901 -7.78239746316e-09 -0.0208330098903 1.54316155796 0.94119476222 -1.0389668239 -0.0391564549138 0.296583505239 2.08012281996 -1.40846782454
555.402 -0.147274784939 0.0208330463887 5.72617075973e-08 -1.99059228305 0.725312966198 -0.21199811922 -0.0783804645802 -2.68684635933 -0.875264400362 2.84639456687 -4.756298838e-09 -0.0208330062568 1.54316155756 0.941194761813 -1.03896682375 -0.0391564550373 0.296583505879 2.0801228203 -1.4084678242
555.522 -0.0461676137448 0.0208330237607 3.00346444322e-08 -1.99059240216 0.725312988967 -0.211998128493 -0.0783804301168 -2.68684611322 -0.875264401337 2.84639446086 -4.94218692965e-08 -0.0208330599453 1.54316155908 0.941194761909 -1.03896682388 -0.0391564543356 0.296583506219 2.08012283216 -1.4084678221
555.622 0.0400924130026 0.0208340529718 1.27067415368e-06 -1.99059234634 0.725312774609 -0.211998171048 -0.0783805830566 -2.6868457059 -0.875264621652 2.84639295869 -1.21540501529e-07 -0.0208331466391 1.54316155853 0.941194760653 -1.03896682342 -0.0391564545068 0.296583510697 2.08012285264 -1.4084678194
555.742 0.134977886122 0.0208335391306 6.51214919275e-07 -1.99059216368 0.725312764599 -0.21199815074 -0.0783806208398 -2.68684605154 -0.875264617276 2.84639334604 -2.82482971616e-09 -0.0208330039324 1.5431615573 0.941194761092 -1.03896682352 -0.0391564551209 0.296583506554 2.08012282204 -1.40846782348
