# time head_pan l_gripper_l_finger_joint l_gripper_r_finger_joint left_e0 left_e1 left_s0 left_s1 left_w0 left_w1 left_w2 r_gripper_l_finger_joint r_gripper_r_finger_joint right_e0 right_e1 right_s0 right_s1 right_w0 right_w1 right_w2
492.222 -0.0304334368793 0.0208330311476 3.14569857644e-08 -2.09180197086 2.0359685795 0.330595560321 -0.258564099584 -2.50531248055 -0.580467685341 2.59445946757 -4.94581273602e-08 -0.0208330599559 1.54316155888 0.941194762185 -1.03896682396 -0.0391564542876 0.296583505933 2.08012283202 -1.40846782202
492.342 -0.13216432469 0.0208330608419 6.11074766169e-08 -2.09180205955 2.03596847724 0.330595527833 -0.258564063824 -2.50531289205 -0.580467725461 2.59445986096 -8.28350764995e-10 -0.0208330015024 1.54316155706 0.941194759863 -1.03896682306 -0.039156455071 0.296583507897 2.08012282691 -1.40846782142
492.402 -0.18600333582 0.0208330389576 3.92570869427e-08 -2.09180230169 2.0359684825 0.330595536437 -0.258564118071 -2.50531261961 -0.580467247893 2.59445956302 -7.76033662796e-08 -0.0208330937881 1.54316155891 0.94119476129 -1.03896682367 -0.0391564543603 0.296583507947 2.0801228409 -1.40846782079
492.522 -0.283987061347 0.0208330739439 8.94708308103e-08 -2.09180201407 2.03596848011 0.330595543193 -0.258564092789 -2.50531307212 -0.580467734433 2.59446006737 -1.6210650741e-09 -0.0208330024548 1.54316155711 0.941194760452 -1.03896682331 -0.0391564551244 0.296583507248 2.08012282419 -1.40846782253
492.642 -0.360988391962 0.0208330951254 9.53741185465e-08 -2.09180242143 2.03596832951 0.330595497443 -0.258564101184 -2.50531308899 -0.580467266872 2.59446005736 -1.99127296587e-08 -0.0208330244451 1.54316155872 0.941194762575 -1.03896682405 -0.0391564545551 0.296583504747 2.08012282279 -1.4084678241
492.702 -0.393360855082 0.0208330924426 1.11784283382e-07 -2.09180211051 2.03596843798 0.330595541442 -0.258564115274 -2.50531314382 -0.580467620106 2.59446013994 -2.85571581107e-09 -0.0208330039422 1.5431615573 0.941194761107 -1.03896682348 -0.0391564551203 0.296583506548 2.08012282205 -1.40846782346
492.822 -0.460628715547 0.0208331188637 1.19123317843e-07 -2.0918022687 2.03596836548 0.330595514836 -0.258564106991 -2.50531319167 -0.580467463882 2.59446019976 -3.14417226109e-08 -0.0208330383028 1.54316155896 0.941194762434 -1.03896682405 -0.0391564544013 0.296583505108 2.08012282649 -1.40846782325
492.942 -0.523982407685 0.0208330951461 9.5394175763e-08 -2.09180247513 2.03596833472 0.330595504597 -0.258564121026 -2.50531308291 -0.580467148321 2.59446006613 -2.97661212546e-07 -0.0208333583034 1.54316155735 0.94119476035 -1.03896682329 -0.039156455038 0.296583518809 2.08012289315 -1.40846781723
493.002 -0.544110862654 0.0208331188579 1.19095604949e-07 -2.09180221563 2.03596838436 0.330595524713 -0.258564112541 -2.50531319851 -0.580467527491 2.59446020602 -4.94494336189e-08 -0.0208330599545 1.54316155906 0.941194761992 -1.03896682394 -0.0391564543363 0.296583506209 2.08012283223 -1.40846782214
493.122 -0.574617823944 0.0208331486095 1.48841329844e-07 -2.09180238766 2.03596832636 0.330595510995 -0.25856412946 -2.50531326359 -0.580467284214 2.5944602838 -8.21651082011e-10 -0.0208330015012 1.54316155708 0.941194759815 -1.03896682303 -0.0391564551079 0.296583507916 2.08012282676 -1.40846782148
